RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
394755,438,"Kokomo, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,33,35,33,32,32,31,33,31,32,30,32,28,29,30,29,31,29,28,28,28,28,30,25,25,28,28,29,31,28,30
394675,441,"Helena, MT",msa,MT,,,,,,,,,,,,,,,,15,33,37,40,37,42,36,43,38,38,35,39,40,38,41,39,37,28,38,44,43,41,39,44,43,40,43,43,43,40,39,38,43,45,40,39,39,37,37,37,36,39,37,35,38,40,39,37,38,37,31,35,32
394744,442,"Key West, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,43,27,35,31,39,14,30,42,45,45,48,46,46,45,44,42,42,45,41,43,42,42,37,40,41,42,42,37,36,35,34,36,41,39,36,39,39
394489,445,"Columbus, IN",msa,IN,29,27,29,29,33,35,32,33,31,30,31,32,33,32,34,32,30,32,35,32,31,35,33,34,32,30,32,35,35,33,34,36,37,36,34,34,37,33,35,33,32,33,32,32,31,31,33,33,32,31,29,30,31,31,31,31,31,28,30,29,31,29,28,30,29,30,29,29
394345,446,"Athens, TX",msa,TX,27,28,26,27,23,30,25,28,31,30,27,28,33,20,25,26,24,25,29,26,26,29,29,27,25,24,26,34,25,25,28,30,30,31,32,27,29,25,29,28,29,29,27,26,22,28,25,25,26,23,23,32,31,31,32,30,31,29,29,29,29,31,27,29,26,28,30,27
394682,449,"Hinesville, GA",msa,GA,,,,,,,,,,,,,,,,,,,,,,,,,,31,35,36,33,38,39,36,40,37,33,37,37,33,36,35,38,37,35,35,34,34,33,36,31,33,30,33,31,31,33,32,34,32,30,32,32,31,30,30,35,34,33,35
395205,451,"Warsaw, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,21,38,21,26,31,32,16,31,33,36,34,34,35,32,33,34,33,34,32,33,31,32,31,29,32,31,31,32,30,28,36,30,29,29,29,30,28,27
394986,452,"Plattsburgh, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,65,63,66,49,55,64,66,69,68,64,68,56,64,59,62,65,64,67,67,59,70,62,71,65,59,60,62,63,67,60,55,62,56,54,63,62,48,54,53,59,56,57
395126,453,"Statesboro, GA",msa,GA,47,31,23,26,28,25,26,23,32,26,26,31,24,30,29,31,27,32,31,30,33,27,32,33,38,25,30,32,28,30,32,32,36,37,42,38,40,35,37,35,38,38,38,36,32,29,35,32,34,34,31,31,36,34,30,32,32,31,30,29,24,29,29,31,29,30,27,23
394445,454,"Casper, WY",msa,WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,36,34,35,36,36
395231,455,"Wilson, NC",msa,NC,40,34,38,36,35,38,42,35,40,39,40,38,40,38,39,40,39,38,38,36,40,42,36,40,40,39,38,43,38,41,43,44,45,44,46,41,43,41,38,40,40,42,41,42,38,36,39,38,39,33,38,36,36,40,38,36,37,35,35,28,34,31,32,34,35,35,36,34
753881,456,"Glenwood Springs, CO",msa,CO,46,40,40,37,43,39,39,37,35,37,38,35,41,35,38,39,40,39,39,39,42,42,38,41,43,41,39,41,38,42,37,41,42,45,42,43,45,41,40,44,45,42,39,40,43,44,39,37,43,41,35,40,38,34,35,34,35,40,35,37,38,33,35,38,35,36,35,37
395085,457,"Seneca, SC",msa,SC,,,,,,,,,,,,,,37,24,18,29,36,36,40,36,40,39,39,46,35,38,44,38,39,40,41,41,40,41,41,42,40,39,42,40,39,38,36,39,41,43,40,42,37,37,37,39,35,38,33,33,36,34,35,38,31,32,36,36,37,34,36
394936,459,"Olean, NY",msa,NY,,,,,,,,,,,,,,,60,50,59,62,62,57,63,60,55,64,59,53,48,59,63,78,52,65,65,65,66,65,71,60,62,64,70,69,65,64,75,78,68,71,74,71,61,62,58,64,63,65,66,68,65,71,62,65,64,60,59,63,62,70
395077,461,"Searcy, AR",msa,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,31,30,29,32,30,24
394994,463,"Port Angeles, WA",msa,WA,43,35,36,33,39,39,38,36,37,37,36,39,41,40,20,24,34,38,36,38,40,40,35,41,41,38,39,40,42,41,41,38,42,44,42,41,44,35,34,31,31,31,35,32,34,32,33,33,37,35,29,30,30,29,30,29,32,30,30,35,32,31,29,30,30,31,33,33
394350,464,"Auburn, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,61,62,63
394699,465,"Huntsville, TX",msa,TX,34,35,33,34,33,31,35,36,33,30,37,29,34,30,30,35,35,35,35,33,34,32,40,34,36,34,35,37,37,41,36,35,42,38,42,41,38,40,37,41,40,41,37,37,40,38,39,36,37,35,37,34,33,35,33,34,33,33,30,31,30,32,27,30,31,30,32,31
394738,466,"Keene, NH",msa,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,33,38,37,40
394674,467,"Heber, UT",msa,UT,35,31,29,35,34,35,32,35,33,32,31,31,31,32,30,35,35,30,34,31,31,35,35,33,32,32,33,42,29,32,32,31,34,37,36,34,27,27,32,32,29,29,29,28,31,29,29,28,32,30,29,28,29,30,27,27,30,28,28,29,28,23,29,32,29,35,30,28
